zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
90702,PO BOX,0,Artesia,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.86,-118.08,582
90703,STANDARD,0,Cerritos,Artesia,,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.86,-118.05,47740
90704,PO BOX,0,Avalon,,"Catalina, Santa Catalina",CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.38,-118.45,3694
90706,STANDARD,0,Bellflower,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.88,-118.13,69470
90707,PO BOX,0,Bellflower,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.88,-118.12,1557
90711,PO BOX,0,Lakewood,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.84,-118.14,571
90712,STANDARD,0,Lakewood,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.85,-118.15,30080
90713,STANDARD,0,Lakewood,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.85,-118.11,26860
90714,PO BOX,0,Lakewood,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.85,-118.13,789
90715,STANDARD,0,Lakewood,,,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.84,-118.07,18960
90716,STANDARD,0,Hawaiian Gardens,"Hawaiian Gdns, Lakewood",,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.83,-118.07,12610
90717,STANDARD,0,Lomita,,,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.79,-118.31,19160
90723,STANDARD,0,Paramount,,,CA,Los Angeles County,America/Los_Angeles,"310, 424, 562",,US,33.89,-118.16,49710
90745,STANDARD,0,Carson,Long Beach,,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.82,-118.26,53770
90746,STANDARD,0,Carson,Long Beach,,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.86,-118.25,24100
90747,UNIQUE,0,Carson,Long Beach,"C S U Dom Hls, Ca State Univ Dom Hills",CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.86,-118.25,49
90749,PO BOX,0,Carson,Long Beach,,CA,Los Angeles County,America/Los_Angeles,310,,US,33.82,-118.26,736
90755,STANDARD,0,Signal Hill,Long Beach,Signal Hl,CA,Los Angeles County,America/Los_Angeles,562,,US,33.8,-118.16,10340
